type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,price_ema,mid_price_ema
ticker,109354014482,BTC-USD,118254.26,117677.7,4575.91607230,115728.49,118920,190974.53001790,118249.42,0.04227230,118254.38,0.36529988,sell,2025-07-31T13:19:22.358925Z,856435822,0.00668396,118246.80,118246.89
ticker,109354014484,BTC-USD,118249.42,117677.7,4575.95834460,115728.49,118920,190974.57229020,118248.75,0.01794522,118254.38,0.36529988,sell,2025-07-31T13:19:22.358925Z,856435823,0.0422723,118246.80,118246.89
ticker,109354014486,BTC-USD,118248.75,117677.7,4575.97628982,115728.49,118920,190974.59023542,118246.23,0.02940000,118254.38,0.36529988,sell,2025-07-31T13:19:22.358925Z,856435824,0.01794522,118246.80,118246.89
ticker,109354014488,BTC-USD,118246.23,117677.7,4576.00568982,115728.49,118920,190974.61963542,118246.22,0.04900000,118254.38,0.36529988,sell,2025-07-31T13:19:22.358925Z,856435825,0.0294,118246.80,118246.89
ticker,109354014490,BTC-USD,118246.22,117677.7,4576.05468982,115728.49,118920,190974.66863542,118244.21,0.02581272,118254.38,0.36529988,sell,2025-07-31T13:19:22.358925Z,856435826,0.049,118246.80,118246.89
ticker,109354014492,BTC-USD,118244.21,117677.7,4576.08050254,115728.49,118920,190974.69444814,118244.20,0.04302120,118254.38,0.36529988,sell,2025-07-31T13:19:22.358925Z,856435827,0.02581272,118246.80,118246.89
ticker,109354014494,BTC-USD,118244.2,117677.7,4576.12352374,115728.49,118920,190974.73746934,118243.19,0.00845714,118254.38,0.36529988,sell,2025-07-31T13:19:22.358925Z,856435828,0.0430212,118246.80,118246.89
ticker,109354014496,BTC-USD,118243.19,117677.7,4576.13194364,115728.49,118920,190974.74588924,118243.19,0.00003724,118254.38,0.36529988,sell,2025-07-31T13:19:22.358925Z,856435829,0.0084199,118246.80,118246.89
ticker,109354014499,BTC-USD,118243.19,117677.7,4576.13198088,115728.49,118920,190974.74592648,118239.85,0.00471975,118254.38,0.36529988,sell,2025-07-31T13:19:22.359059Z,856435830,0.00003724,118246.80,118246.89
ticker,109354015117,BTC-USD,118252.42,117677.7,4576.13206545,115728.49,118920,190974.74601105,118239.41,0.01955189,118252.43,0.45188266,sell,2025-07-31T13:19:22.522694Z,856435831,0.00008457,118246.98,118246.86
ticker,109354015358,BTC-USD,118239.43,117677.7,4576.13248545,115728.49,118920,190974.74643105,118239.42,0.00251218,118239.43,0.22969672,buy,2025-07-31T13:19:22.570183Z,856435832,0.00042,118246.91,118246.79
ticker,109354016721,BTC-USD,118248.28,117677.7,4576.13293042,115728.49,118920,190974.74687602,118248.27,0.00008457,118248.28,0.02569503,buy,2025-07-31T13:19:23.374384Z,856435833,0.00044497,118247.11,118247.01
ticker,109354016915,BTC-USD,118239.81,117677.7,4576.13536042,115728.49,118920,190974.74930602,118239.12,0.01794668,118239.81,0.02371000,buy,2025-07-31T13:19:23.507481Z,856435834,0.00243,118246.92,118246.81
ticker,109354017796,BTC-USD,118240.88,117677.7,4576.13536879,115728.49,118920,190974.74931439,118240.87,0.00008458,118240.88,0.02613163,buy,2025-07-31T13:19:24.121121Z,856435835,0.00000837,118246.22,118246.13
ticker,109354018114,BTC-USD,118240.88,117677.7,4576.13553771,115728.49,118920,190974.74948331,118240.87,0.10945620,118240.88,0.04111463,buy,2025-07-31T13:19:25.062724Z,856435836,0.00016892,118245.31,118245.23
ticker,109354019721,BTC-USD,118240.88,117677.7,4576.13578426,115728.49,118920,190974.74972986,118240.87,0.06601966,118240.88,0.04086808,buy,2025-07-31T13:19:27.767984Z,856435837,0.00024655,118243.46,118243.41
ticker,109354020098,BTC-USD,118240.88,117677.7,4576.13701632,115728.49,118920,190974.75096192,118240.87,0.27252374,118240.88,0.03963602,buy,2025-07-31T13:19:28.402687Z,856435838,0.00123206,118243.15,118243.11
ticker,109354020606,BTC-USD,118240.87,117677.7,4576.13711829,115728.49,118920,190974.75106389,118240.87,0.20156038,118240.88,0.03963602,sell,2025-07-31T13:19:29.909859Z,856435839,0.00010197,118242.56,118242.53
ticker,109354020680,BTC-USD,118240.88,117677.7,4576.13718527,115728.49,118920,190974.75113087,118240.87,0.20166235,118240.88,0.03956904,buy,2025-07-31T13:19:30.239751Z,856435840,0.00006698,118242.45,118242.42
ticker,109354020947,BTC-USD,118240.88,117677.7,4576.13722703,115728.49,118920,190974.75117263,118240.87,0.39763806,118240.88,0.03952728,buy,2025-07-31T13:19:30.904593Z,856435841,0.00004176,118242.25,118242.23
ticker,109354020961,BTC-USD,118240.88,117677.7,4576.13722711,115728.49,118920,190974.75117271,118240.87,0.39763806,118240.88,0.03952720,buy,2025-07-31T13:19:30.924000Z,856435842,0.00000008,118242.25,118242.22
ticker,109354021017,BTC-USD,118240.88,117677.7,4576.17675431,115728.49,118920,190974.79069991,118240.87,0.43808429,118251.24,0.03247503,buy,2025-07-31T13:19:31.088808Z,856435843,0.0395272,118242.20,118242.35
ticker,109354021308,BTC-USD,118251.25,117677.7,4576.19220431,115728.49,118920,190974.80614991,118251.24,0.02378457,118251.25,0.32955000,buy,2025-07-31T13:19:31.316144Z,856435844,0.01545,118242.61,118242.74
ticker,109354021340,BTC-USD,118251.24,117677.7,4576.19228888,115728.49,118920,190974.80623448,118251.24,0.05370000,118251.25,0.32955000,sell,2025-07-31T13:19:31.329798Z,856435845,0.00008457,118242.63,118242.77
ticker,109354021342,BTC-USD,118251.24,117677.7,4576.21598888,115728.49,118920,190974.82993448,118251.24,0.03000000,118251.25,0.32955000,sell,2025-07-31T13:19:31.329798Z,856435846,0.0237,118242.63,118242.77
ticker,109354021344,BTC-USD,118251.24,117677.7,4576.22615459,115728.49,118920,190974.84010019,118251.24,0.01983429,118251.25,0.32955000,sell,2025-07-31T13:19:31.329798Z,856435847,0.01016571,118242.63,118242.77
ticker,109354022003,BTC-USD,118251.25,117677.7,4576.23108524,115728.49,118920,190974.84503084,118251.24,0.06244181,118251.25,0.36067429,buy,2025-07-31T13:19:32.862934Z,856435848,0.00493065,118244.91,118245.00
ticker,109354022158,BTC-USD,118251.25,117677.7,4576.44690875,115728.49,118920,190975.06085435,118251.24,0.32850548,118251.25,0.14485078,buy,2025-07-31T13:19:33.106698Z,856435849,0.21582351,118245.21,118245.30
ticker,109354022285,BTC-USD,118251.25,117677.7,4576.44707767,115728.49,118920,190975.06102327,118251.24,0.40204941,118251.25,0.14468186,buy,2025-07-31T13:19:33.206007Z,856435850,0.00016892,118245.33,118245.42
ticker,109354022293,BTC-USD,118251.25,117677.7,4576.45555019,115728.49,118920,190975.06949579,118251.24,0.40204941,118251.25,0.13620934,buy,2025-07-31T13:19:33.211216Z,856435851,0.00847252,118245.33,118245.42
ticker,109354022299,BTC-USD,118251.25,117677.7,4576.55570459,115728.49,118920,190975.16965019,118251.24,0.40204941,118251.25,0.03605494,buy,2025-07-31T13:19:33.214536Z,856435852,0.1001544,118245.34,118245.43
ticker,109354022301,BTC-USD,118251.25,117677.7,4576.55627071,115728.49,118920,190975.17021631,118251.24,0.40204941,118251.25,0.03548882,buy,2025-07-31T13:19:33.214536Z,856435853,0.00056612,118245.34,118245.43
ticker,109354022312,BTC-USD,118251.25,117677.7,4576.58006762,115728.49,118920,190975.19401322,118251.24,0.40204941,118251.25,0.01169191,buy,2025-07-31T13:19:33.217817Z,856435854,0.02379691,118245.34,118245.43
ticker,109354022320,BTC-USD,118251.25,117677.7,4576.58657879,115728.49,118920,190975.20052439,118251.24,0.40204941,118251.25,0.00518074,buy,2025-07-31T13:19:33.218280Z,856435855,0.00651117,118245.34,118245.43
ticker,109354022323,BTC-USD,118251.25,117677.7,4576.59175953,115728.49,118920,190975.20570513,118251.24,0.40204941,118254.38,0.29789034,buy,2025-07-31T13:19:33.218835Z,856435856,0.00518074,118245.34,118245.43
ticker,109354022448,BTC-USD,118254.38,117677.7,4576.60365408,115728.49,118920,190975.21759968,118254.37,0.35706168,118254.38,0.28599579,buy,2025-07-31T13:19:33.233376Z,856435857,0.01189455,118245.37,118245.46
ticker,109354022497,BTC-USD,118254.38,117677.7,4576.78002262,115728.49,118920,190975.39396822,118254.37,0.36551802,118254.38,0.10962725,buy,2025-07-31T13:19:33.239300Z,856435858,0.17636854,118245.38,118245.47
ticker,109354022572,BTC-USD,118254.38,117677.7,4576.78004376,115728.49,118920,190975.39398936,118254.37,0.36551802,118254.38,0.10960611,buy,2025-07-31T13:19:33.290143Z,856435859,0.00002114,118245.47,118245.56
ticker,109354022692,BTC-USD,118254.38,117677.7,4576.78021121,115728.49,118920,190975.39415681,118254.37,0.45289738,118254.38,0.10943866,buy,2025-07-31T13:19:33.369314Z,856435860,0.00016745,118245.61,118245.70
ticker,109354022760,BTC-USD,118254.38,117677.7,4576.78023300,115728.49,118920,190975.39417860,118254.37,0.46289738,118254.38,0.10941687,buy,2025-07-31T13:19:33.415712Z,856435861,0.00002179,118245.69,118245.78
ticker,109354022791,BTC-USD,118254.38,117677.7,4576.78023308,115728.49,118920,190975.39417868,118254.37,0.46289738,118254.38,0.11443837,buy,2025-07-31T13:19:33.457299Z,856435862,0.00000008,118245.76,118245.85
ticker,109354022835,BTC-USD,118254.38,117677.7,4576.78049066,115728.49,118920,190975.39443626,118254.37,0.46289738,118254.38,0.11418079,buy,2025-07-31T13:19:33.524135Z,856435863,0.00025758,118245.88,118245.96
ticker,109354022967,BTC-USD,118254.38,117677.7,4576.78493064,115728.49,118920,190975.39887624,118254.37,0.51979710,118254.38,0.10974081,buy,2025-07-31T13:19:33.652985Z,856435864,0.00443998,118246.09,118246.18
ticker,109354022976,BTC-USD,118254.38,117677.7,4576.78853696,115728.49,118920,190975.40248256,118254.37,0.51979710,118254.38,0.10613449,buy,2025-07-31T13:19:33.658024Z,856435865,0.00360632,118246.10,118246.19
ticker,109354022983,BTC-USD,118254.38,117677.7,4576.79291144,115728.49,118920,190975.40685704,118254.37,0.51979710,118254.38,0.10176001,buy,2025-07-31T13:19:33.662494Z,856435866,0.00437448,118246.11,118246.19
ticker,109354023027,BTC-USD,118254.38,117677.7,4576.88459591,115728.49,118920,190975.49854151,118254.37,0.51979710,118254.38,0.01007554,buy,2025-07-31T13:19:33.790238Z,856435867,0.09168447,118246.32,118246.40
ticker,109354023036,BTC-USD,118254.38,117677.7,4576.88656122,115728.49,118920,190975.50050682,118254.37,0.51979710,118254.38,0.00811023,buy,2025-07-31T13:19:33.793374Z,856435868,0.00196531,118246.32,118246.40
ticker,109354023038,BTC-USD,118254.38,117677.7,4576.88656333,115728.49,118920,190975.50050893,118254.37,0.51979710,118254.38,0.00810812,buy,2025-07-31T13:19:33.793374Z,856435869,0.00000211,118246.32,118246.40
ticker,109354023040,BTC-USD,118254.38,117677.7,4576.88670952,115728.49,118920,190975.50065512,118254.37,0.51979710,118254.38,0.00796193,buy,2025-07-31T13:19:33.793374Z,856435870,0.00014619,118246.32,118246.40
ticker,109354023042,BTC-USD,118254.38,117677.7,4576.88744481,115728.49,118920,190975.50139041,118254.37,0.51979710,118254.38,0.00722664,buy,2025-07-31T13:19:33.793374Z,856435871,0.00073529,118246.32,118246.40
ticker,109354023065,BTC-USD,118254.38,117677.7,4576.88964987,115728.49,118920,190975.50359547,118254.37,0.47752999,118254.38,0.00502158,buy,2025-07-31T13:19:33.797622Z,856435872,0.00220506,118246.33,118246.41
ticker,109354023067,BTC-USD,118254.38,117677.7,4576.89394586,115728.49,118920,190975.50789146,118254.37,0.47752999,118254.38,0.00072559,buy,2025-07-31T13:19:33.797622Z,856435873,0.00429599,118246.33,118246.41
ticker,109354023069,BTC-USD,118254.38,117677.7,4576.89467145,115728.49,118920,190975.50861705,118254.37,0.47752999,118260.39,0.24138371,buy,2025-07-31T13:19:33.797622Z,856435874,0.00072559,118246.33,118246.41
ticker,109354023235,BTC-USD,118260.39,117677.7,4576.91042864,115728.49,118920,190975.52437424,118260.38,0.36551758,118260.39,0.22562652,buy,2025-07-31T13:19:33.821919Z,856435875,0.01575719,118246.40,118246.48
ticker,109354023470,BTC-USD,118260.39,117677.7,4576.92275658,115728.49,118920,190975.53670218,118260.38,0.44530360,118260.39,0.25937664,buy,2025-07-31T13:19:34.229781Z,856435876,0.01232794,118247.49,118247.57
ticker,109354023640,BTC-USD,118260.39,117677.7,4576.92283889,115728.49,118920,190975.53678449,118260.38,0.44530360,118260.39,0.25929534,buy,2025-07-31T13:19:34.517463Z,856435877,0.00008231,118248.22,118248.28
ticker,109354023796,BTC-USD,118260.39,117677.7,4576.94281723,115728.49,118920,190975.55676283,118260.38,0.48350371,118260.39,0.23931700,buy,2025-07-31T13:19:34.730709Z,856435878,0.01997834,118248.72,118248.79
ticker,109354024319,BTC-USD,118260.39,117677.7,4576.94321031,115728.49,118920,190975.55715591,118260.38,0.15785760,118260.39,0.23892814,buy,2025-07-31T13:19:35.203090Z,856435879,0.00039308,118249.78,118249.84
ticker,109354024475,BTC-USD,118260.38,117677.7,4576.94329487,115728.49,118920,190975.55724047,118260.38,0.18650792,118260.39,0.23892814,sell,2025-07-31T13:19:35.359729Z,856435880,0.00008456,118250.10,118250.16
ticker,109354024477,BTC-USD,118260.38,117677.7,4576.95166735,115728.49,118920,190975.56561295,118260.38,0.17813544,118260.39,0.23892814,sell,2025-07-31T13:19:35.359729Z,856435881,0.00837248,118250.10,118250.16
ticker,109354025496,BTC-USD,118260.38,117677.7,4576.95192226,115728.49,118920,190975.56586786,118260.38,0.23510950,118260.39,0.24298104,sell,2025-07-31T13:19:37.905106Z,856435882,0.00025491,118254.20,118254.24
ticker,109354025756,BTC-USD,118260.39,117677.7,4576.95217344,115728.49,118920,190975.56611904,118260.38,0.23510736,118260.39,0.24272986,buy,2025-07-31T13:19:38.233208Z,856435883,0.00025118,118254.60,118254.63
ticker,109354025854,BTC-USD,118260.38,117677.7,4576.95223154,115728.49,118920,190975.56617714,118260.38,1.31184895,118260.39,0.24272986,sell,2025-07-31T13:19:38.411267Z,856435884,0.0000581,118254.80,118254.83
ticker,109354025911,BTC-USD,118260.38,117677.7,4576.95226108,115728.49,118920,190975.56620668,118260.38,1.26955374,118260.39,0.24272986,sell,2025-07-31T13:19:38.575998Z,856435885,0.00002954,118254.98,118255.01
ticker,109354026056,BTC-USD,118260.39,117677.7,4576.95234129,115728.49,118920,190975.56628689,118260.38,1.30182108,118260.39,0.24264965,buy,2025-07-31T13:19:38.942973Z,856435886,0.00008021,118255.36,118255.39
ticker,109354026134,BTC-USD,118260.39,117677.7,4576.95244561,115728.49,118920,190975.56639121,118260.38,1.30182108,118260.39,0.24254533,buy,2025-07-31T13:19:39.109946Z,856435887,0.00010432,118255.53,118255.56
ticker,109354026431,BTC-USD,118260.39,117677.7,4576.95248747,115728.49,118920,190975.56643307,118260.38,0.38959372,118260.39,0.24250347,buy,2025-07-31T13:19:40.029912Z,856435888,0.00004186,118256.34,118256.37
ticker,109354026620,BTC-USD,118260.39,117677.7,4576.95290607,115728.49,118920,190975.56685167,118260.38,0.22627372,118260.39,0.24208487,buy,2025-07-31T13:19:40.487928Z,856435889,0.0004186,118256.70,118256.72
ticker,109354026693,BTC-USD,118260.39,117677.7,4576.95315265,115728.49,118920,190975.56709825,118260.38,0.22627372,118260.39,0.24183829,buy,2025-07-31T13:19:40.742599Z,856435890,0.00024658,118256.88,118256.90
ticker,109354026726,BTC-USD,118260.39,117677.7,4576.95398992,115728.49,118920,190975.56793552,118260.38,0.22627372,118260.39,0.24100102,buy,2025-07-31T13:19:40.837875Z,856435891,0.00083727,118256.95,118256.97
ticker,109354026752,BTC-USD,118260.39,117677.7,4576.95415428,115728.49,118920,190975.56809988,118260.38,0.22627372,118260.39,0.24083666,buy,2025-07-31T13:19:40.953244Z,856435892,0.00016436,118257.03,118257.04
ticker,109354026996,BTC-USD,118260.39,117677.7,4576.95743448,115728.49,118920,190975.57138008,118260.38,0.05790644,118260.39,0.23755646,buy,2025-07-31T13:19:41.417990Z,856435893,0.0032802,118257.32,118257.34
ticker,109354027042,BTC-USD,118260.39,117677.7,4576.95869039,115728.49,118920,190975.57263599,118260.38,0.05790644,118260.39,0.23630055,buy,2025-07-31T13:19:41.469533Z,856435894,0.00125591,118257.36,118257.37
ticker,109354027160,BTC-USD,118260.39,117677.7,4576.96690907,115728.49,118920,190975.58085467,118260.38,0.05790644,118260.39,0.26190587,buy,2025-07-31T13:19:42.084122Z,856435895,0.00821868,118257.71,118257.72
ticker,109354027195,BTC-USD,118260.39,117677.7,4576.97529273,115728.49,118920,190975.58923833,118260.38,0.05790644,118260.39,0.25352221,buy,2025-07-31T13:19:42.128013Z,856435896,0.00838366,118257.73,118257.74
ticker,109354027230,BTC-USD,118260.39,117677.7,4576.97656653,115728.49,118920,190975.59051213,118260.38,0.05790644,118260.39,0.25224841,buy,2025-07-31T13:19:42.213951Z,856435897,0.0012738,118257.78,118257.79
ticker,109354027329,BTC-USD,118260.39,117677.7,4576.97657264,115728.49,118920,190975.59051824,118260.38,0.05790644,118260.39,0.25224230,buy,2025-07-31T13:19:42.544905Z,856435898,0.00000611,118257.94,118257.96
ticker,109354027341,BTC-USD,118260.39,117677.7,4576.97867080,115728.49,118920,190975.59261640,118260.38,0.05790644,118260.39,0.25014414,buy,2025-07-31T13:19:42.582375Z,856435899,0.00209816,118257.96,118257.97
ticker,109354027352,BTC-USD,118260.39,117677.7,4576.97876939,115728.49,118920,190975.59271499,118260.38,0.05790644,118260.39,0.25004555,buy,2025-07-31T13:19:42.650068Z,856435900,0.00009859,118257.99,118258.01
ticker,109354027368,BTC-USD,118260.39,117677.7,4576.97892847,115728.49,118920,190975.59287407,118260.38,0.05790644,118260.39,0.24988647,buy,2025-07-31T13:19:42.682194Z,856435901,0.00015908,118258.01,118258.02
ticker,109354027388,BTC-USD,118260.39,117677.7,4576.97909592,115728.49,118920,190975.59304152,118260.38,0.05790644,118260.39,0.24971902,buy,2025-07-31T13:19:42.749083Z,856435902,0.00016745,118258.04,118258.05
ticker,109354027531,BTC-USD,118260.39,117677.7,4576.97917965,115728.49,118920,190975.59312525,118260.38,0.05790644,118260.39,0.24963529,buy,2025-07-31T13:19:43.049603Z,856435903,0.00008373,118258.18,118258.19
ticker,109354027607,BTC-USD,118260.38,117677.7,4576.97917966,115728.49,118920,190975.59312526,118260.38,0.05790643,118260.39,0.24963529,sell,2025-07-31T13:19:43.265695Z,856435904,0.00000001,118258.27,118258.28
ticker,109354027960,BTC-USD,118260.39,117677.7,4576.97956966,115728.49,118920,190975.59351526,118260.38,0.01790644,118260.39,0.48307755,buy,2025-07-31T13:19:43.553889Z,856435905,0.00039,118258.39,118258.40
ticker,109354027998,BTC-USD,118260.39,117677.7,4576.97997068,115728.49,118920,190975.59391628,118260.38,0.01790644,118260.39,0.32996653,buy,2025-07-31T13:19:43.573373Z,856435906,0.00040102,118258.40,118258.41
ticker,109354028319,BTC-USD,118260.39,117677.7,4576.98635068,115728.49,118920,190975.60029628,118260.38,0.02793644,118260.39,0.24246427,buy,2025-07-31T13:19:44.175942Z,856435907,0.00638,118258.62,118258.63
ticker,109354028328,BTC-USD,118260.39,117677.7,4576.98676925,115728.49,118920,190975.60071485,118260.38,0.04293644,118260.39,0.24204570,buy,2025-07-31T13:19:44.185678Z,856435908,0.00041857,118258.63,118258.64
ticker,109354028530,BTC-USD,118260.39,117677.7,4576.98694573,115728.49,118920,190975.60089133,118260.38,0.12592781,118260.39,0.20804522,buy,2025-07-31T13:19:44.368830Z,856435909,0.00017648,118258.69,118258.70
ticker,109354028650,BTC-USD,118260.39,117677.7,4576.98811573,115728.49,118920,190975.60206133,118260.38,0.07362751,118260.39,0.20687522,buy,2025-07-31T13:19:44.472585Z,856435910,0.00117,118258.73,118258.73
ticker,109354028762,BTC-USD,118260.39,117677.7,4576.98861573,115728.49,118920,190975.60256133,118260.38,0.07356883,118260.39,0.20637522,buy,2025-07-31T13:19:44.794893Z,856435911,0.0005,118258.83,118258.84
ticker,109354028829,BTC-USD,118260.39,117677.7,4576.98861590,115728.49,118920,190975.60256150,118260.38,0.05856883,118260.39,0.24020205,buy,2025-07-31T13:19:45.063726Z,856435912,0.00000017,118258.91,118258.92
ticker,109354028938,BTC-USD,118260.39,117677.7,4576.98954794,115728.49,118920,190975.60349354,118260.38,0.14586883,118260.39,0.23927001,buy,2025-07-31T13:19:45.267831Z,856435913,0.00093204,118258.97,118258.98
ticker,109354028948,BTC-USD,118260.39,117677.7,4576.99054172,115728.49,118920,190975.60448732,118260.38,0.14586883,118260.39,0.23827623,buy,2025-07-31T13:19:45.283366Z,856435914,0.00099378,118258.97,118258.98
ticker,109354029215,BTC-USD,118260.39,117677.7,4576.99168172,115728.49,118920,190975.60562732,118260.38,0.05856883,118260.39,0.23713623,buy,2025-07-31T13:19:45.889308Z,856435915,0.00114,118259.14,118259.14
ticker,109354029892,BTC-USD,118260.38,117677.7,4576.99170616,115728.49,118920,190975.60565176,118260.38,0.43254104,118260.39,0.23713623,sell,2025-07-31T13:19:47.848115Z,856435916,0.00002444,118259.54,118259.54
ticker,109354029991,BTC-USD,118260.39,117677.7,4576.99708803,115728.49,118920,190975.61103363,118260.38,0.41476548,118260.39,0.19792736,buy,2025-07-31T13:19:47.960897Z,856435917,0.00538187,118259.56,118259.56
ticker,109354029997,BTC-USD,118260.39,117677.7,4577.00917712,115728.49,118920,190975.62312272,118260.38,0.41476548,118260.39,0.18583827,buy,2025-07-31T13:19:47.962000Z,856435918,0.01208909,118259.56,118259.56
ticker,109354030000,BTC-USD,118260.39,117677.7,4577.14487920,115728.49,118920,190975.75882480,118260.38,0.41476548,118260.39,0.05013619,buy,2025-07-31T13:19:47.963666Z,856435919,0.13570208,118259.56,118259.56
ticker,109354030002,BTC-USD,118260.39,117677.7,4577.19095726,115728.49,118920,190975.80490286,118260.38,0.41476548,118260.39,0.00405813,buy,2025-07-31T13:19:47.963666Z,856435920,0.04607806,118259.56,118259.56
ticker,109354030004,BTC-USD,118260.39,117677.7,4577.19095827,115728.49,118920,190975.80490387,118260.38,0.41476548,118260.39,0.00405712,buy,2025-07-31T13:19:47.963666Z,856435921,0.00000101,118259.56,118259.56
ticker,109354030006,BTC-USD,118260.39,117677.7,4577.19096249,115728.49,118920,190975.80490809,118260.38,0.41476548,118260.39,0.00405290,buy,2025-07-31T13:19:47.963666Z,856435922,0.00000422,118259.56,118259.56
ticker,109354030008,BTC-USD,118260.39,117677.7,4577.19139838,115728.49,118920,190975.80534398,118260.38,0.41476548,118260.39,0.00361701,buy,2025-07-31T13:19:47.963666Z,856435923,0.00043589,118259.56,118259.56
ticker,109354030010,BTC-USD,118260.39,117677.7,4577.19501539,115728.49,118920,190975.80896099,118260.38,0.41476548,118263.39,0.00001000,buy,2025-07-31T13:19:47.963666Z,856435924,0.00361701,118259.56,118259.56
ticker,109354030361,BTC-USD,118263.38,117677.7,4577.19506723,115728.49,118920,190975.80901283,118263.38,1.41445513,118263.39,0.03383600,sell,2025-07-31T13:19:48.295502Z,856435925,0.00005184,118259.80,118259.81
ticker,109354030391,BTC-USD,118263.38,117677.7,4577.19549003,115728.49,118920,190975.80943563,118263.38,1.45548219,118263.39,0.03383600,sell,2025-07-31T13:19:48.355641Z,856435926,0.0004228,118259.85,118259.85
ticker,109354030876,BTC-USD,118263.39,117677.7,4577.19550003,115728.49,118920,190975.80944563,118263.38,1.45547915,118263.39,0.05432905,buy,2025-07-31T13:19:49.466094Z,856435927,0.00001,118260.55,118260.55
ticker,109354030878,BTC-USD,118263.39,117677.7,4577.19569981,115728.49,118920,190975.80964541,118263.38,1.45547915,118263.39,0.05412927,buy,2025-07-31T13:19:49.466094Z,856435928,0.00019978,118260.55,118260.55
ticker,109354031067,BTC-USD,118263.39,117677.7,4577.20466423,115728.49,118920,190975.81860983,118263.38,1.45547915,118263.39,0.04516485,buy,2025-07-31T13:19:50.098228Z,856435929,0.00896442,118260.89,118260.89
ticker,109354031069,BTC-USD,118263.39,117677.7,4577.20568085,115728.49,118920,190975.81962645,118263.38,1.45547915,118263.39,0.04414823,buy,2025-07-31T13:19:50.098228Z,856435930,0.00101662,118260.89,118260.89
ticker,109354031071,BTC-USD,118263.39,117677.7,4577.20568719,115728.49,118920,190975.81963279,118263.38,1.45547915,118263.39,0.04414189,buy,2025-07-31T13:19:50.098228Z,856435931,0.00000634,118260.89,118260.89
ticker,109354031073,BTC-USD,118263.39,117677.7,4577.24982908,115728.49,118920,190975.86377468,118263.38,1.45547915,118264.05,0.03497971,buy,2025-07-31T13:19:50.098228Z,856435932,0.04414189,118260.89,118260.89
ticker,109354031105,BTC-USD,118264.05,117677.7,4577.25481775,115728.49,118920,190975.86876335,118264.04,0.15201587,118264.05,0.02999104,buy,2025-07-31T13:19:50.103426Z,856435933,0.00498867,118260.89,118260.89
ticker,109354031107,BTC-USD,118264.05,117677.7,4577.27981089,115728.49,118920,190975.89375649,118264.04,0.15201587,118264.05,0.00499790,buy,2025-07-31T13:19:50.103426Z,856435934,0.02499314,118260.89,118260.89
ticker,109354031109,BTC-USD,118264.05,117677.7,4577.28480879,115728.49,118920,190975.89875439,118264.04,0.15201587,118268.03,0.01345224,buy,2025-07-31T13:19:50.103426Z,856435935,0.0049979,118260.89,118260.89
ticker,109354031616,BTC-USD,118268.03,117677.7,4577.28496919,115728.49,118920,190975.89891479,118268.02,0.97171286,118268.03,0.04711684,buy,2025-07-31T13:19:51.043079Z,856435936,0.0001604,118262.12,118262.12
